id,year,state,state_po,district,runoff,special,candidate_name,party,CAND_ICI,TTL_DISB,adjusted_vote_margin,candidate_votes,total_votes,NHE,pvi,percent_of_vote,vote_margin,FEC_candidate_id
2010AK0,2010,ALASKA,AK,0,,False,DON YOUNG,Republican,I,887310.33,20.18,175384,254335,6.8,13.0,0.6896,0.3845,H6AK00045
2010AK0,2010,ALASKA,AK,0,,False,HARRY T CRAWFORD JR,Democrat,C,235571.43,-19.42,77606,254335,6.8,13.0,0.3051,0.3845,H0AK00089
2010AL1,2010,ALABAMA,AL,1,,False,DAVID WALTER,Other,C,20045.0,,26357,156281,6.8,14.0,0.1687,0.6571,H0AL01048
2010AL1,2010,ALABAMA,AL,1,,False,JO BONNER,Republican,I,1101701.0,21.46,129063,156281,6.8,14.0,0.8258,0.6571,H2AL01077
2010AL2,2010,ALABAMA,AL,2,,False,BOBBY BRIGHT,Democrat,I,1435626.44,-22.78,106865,219028,6.8,16.0,0.4879,0.0218,H8AL02130
2010AL2,2010,ALABAMA,AL,2,,False,MARTHA ROBY,Republican,C,1240275.64,22.82,111645,219028,6.8,16.0,0.5097,0.0218,H0AL02087
2010AL3,2010,ALABAMA,AL,3,,False,MIKE ROGERS,Republican,I,979490.74,15.99,117736,198139,6.8,9.0,0.5942,0.1894,H2AL03032
2010AL3,2010,ALABAMA,AL,3,,False,STEVE SEGREST,Democrat,C,8750.0,-15.61,80204,198139,6.8,9.0,0.4048,0.1894,H0AL03184
2010AL4,2010,ALABAMA,AL,4,,False,ROBERT B ADERHOLT,Republican,I,969814.03,32.8,167714,169721,6.8,26.0,0.9882,0.0,H6AL04098
2010AL5,2010,ALABAMA,AL,5,,False,MO BROOKS,Republican,C,910790.4,18.96,131109,226490,6.8,12.0,0.5789,0.1586,H0AL05163
2010AL5,2010,ALABAMA,AL,5,,False,STEVE RABY,Democrat,C,777837.46,-18.64,95192,226490,6.8,12.0,0.4203,0.1586,H0AL05197
2010AL6,2010,ALABAMA,AL,6,,False,SPENCER BACHUS,Republican,I,1634114.19,35.8,205288,209364,6.8,29.0,0.9805,0.0,H2AL06035
2010AL7,2010,ALABAMA,AL,7,,False,DON CHAMBERLAIN,Republican,O,42691.0,-10.75,51890,188724,6.8,-18.0,0.275,0.4493,H0AL07177
2010AL7,2010,ALABAMA,AL,7,,False,TERRI A SEWELL,Democrat,O,1766658.3,11.65,136696,188724,6.8,-18.0,0.7243,0.4493,H0AL07086
2010AR1,2010,ARKANSAS,AR,1,,False,CHAD CAUSEY,Democrat,O,1613863.42,-14.72,78267,180016,6.8,8.0,0.4348,0.0831,H0AR01109
2010AR1,2010,ARKANSAS,AR,1,,False,KEN ADLER,Other,,,,8320,180016,6.8,8.0,0.0462,0.0831,
2010AR1,2010,ARKANSAS,AR,1,,False,RICK CRAWFORD,Republican,O,1249966.21,14.88,93224,180016,6.8,8.0,0.5179,0.0831,H0AR01083
2010AR2,2010,ARKANSAS,AR,2,,False,JOYCE ELLIOTT,Democrat,O,1019386.27,-11.6,80687,210852,6.8,5.0,0.3827,0.1963,H0AR02131
2010AR2,2010,ARKANSAS,AR,2,,False,LANCE LEVI,Other,,,,4421,210852,6.8,5.0,0.021,0.1963,
2010AR2,2010,ARKANSAS,AR,2,,False,LEWIS KENNEDY,Other,O,26796.32,,3599,210852,6.8,5.0,0.0171,0.1963,H0AR02164
2010AR2,2010,ARKANSAS,AR,2,,False,TIM GRIFFIN,Republican,O,1774143.0,12.0,122091,210852,6.8,5.0,0.579,0.1963,H0AR02107
2010AR3,2010,ARKANSAS,AR,3,,False,DAVID WHITAKER,Democrat,O,77266.01,-22.35,56542,205123,6.8,16.0,0.2756,0.4488,H0AR03030
2010AR3,2010,ARKANSAS,AR,3,,False,STEVE WOMACK,Republican,O,641115.26,23.25,148581,205123,6.8,16.0,0.7244,0.4488,H0AR03055
2010AR4,2010,ARKANSAS,AR,4,,False,BETH ANNE RANKIN,Republican,C,595854.94,13.97,71526,178134,6.8,7.0,0.4015,0.1738,H0AR04079
2010AR4,2010,ARKANSAS,AR,4,,False,JOSH DRAKE,Other,,,,4129,178134,6.8,7.0,0.0232,0.1738,
2010AR4,2010,ARKANSAS,AR,4,,False,MIKE ROSS,Democrat,,,-13.63,102479,178134,6.8,7.0,0.5753,0.1738,
2010AZ1,2010,ARIZONA,AZ,1,,False,ANN KIRKPATRICK,Democrat,I,1998802.09,-12.74,99233,226918,6.8,6.0,0.4373,0.0599,H8AZ01104
2010AZ1,2010,ARIZONA,AZ,1,,False,NICOLE PATTI,Other,,,,14869,226918,6.8,6.0,0.0655,0.0599,
2010AZ1,2010,ARIZONA,AZ,1,,False,PAUL GOSAR,Republican,,,12.86,112816,226918,6.8,6.0,0.4972,0.0599,
2010AZ2,2010,ARIZONA,AZ,2,,False,JOHN THRASHER,Democrat,C,22020.76,-19.46,82891,266894,6.8,13.0,0.3106,0.3382,H6AZ02155
2010AZ2,2010,ARIZONA,AZ,2,,False,POWELL GAMMILL,Other,,,,10820,266894,6.8,13.0,0.0405,0.3382,
2010AZ2,2010,ARIZONA,AZ,2,,False,TRENT FRANKS,Republican,I,1029036.85,20.14,173173,266894,6.8,13.0,0.6488,0.3382,H4AZ04024
