CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_DISB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT
H2AK00200,CHRISTOPHER CONSTANT,C,DEM,164637.9,AK,0
H2AK01158,MARY PELTOLA,I,DEM,7060033.09,AK,0
H2AK01240,ADAM L WOOL,O,DEM,16217.07,AK,0
H2AK00218,JOSHUA CARL REVAK,O,REP,121841.0,AK,0
H2AK00226,SARAH PALIN,O,REP,1924781.35,AK,0
H2AK01059,RANDY PURHAM,C,REP,5621.6,AK,0
H2AK01083,NICHOLAS III BEGICH,C,REP,1598826.28,AK,0
H2AK01133,JOHN B JR. COGHILL,O,REP,26425.0,AK,0
H2AK01174,TARA M SWEENEY,O,REP,332195.05,AK,0
H6AK00045,DONALD E YOUNG,I,REP,916475.36,AK,0
H2AK01075,GREGG BOWYER MR. BRELSFORD,C,IND,43376.41,AK,0
H2AK01166,ALAN GROSS,O,IND,888083.17,AK,0
H8AK00140,ALYSE GALVIN,C,IND,124897.32,AK,0
H2AK01216,CHRIS BYE,O,LIB,3940.25,AK,0
H2AK01208,SHERRY METTLER,O,NNE,8350.0,AK,0
H2AK01190,JEFF LOWENFELS,O,NON,153418.08,AK,0
H0AL01097,JAMES AVERHART,O,DEM,1000.0,AL,1
H0AL01055,"CARL, JERRY LEE, JR",I,REP,971793.34,AL,1
H0AL02202,PHYLLIS HARVEY-HALL,C,DEM,60219.66,AL,2
H2AL02166,VIMAL PATEL,C,DEM,59961.13,AL,2
H2AL02182,JEFF COLEMAN,C,REP,362073.05,AL,2
H8AL02171,FELIX BARRY MOORE,I,REP,430418.03,AL,2
H2AL02190,JONATHAN SMITH,C,LIB,13281.19,AL,2
H2AL03131,KAREN LIN MRS VEASEY,C,DEM,13237.7,AL,3
H8AL03062,ADIA WINFREY,C,DEM,23.0,AL,3
H2AL03032,MICHAEL ROGERS,I,REP,1737893.91,AL,3
H2AL03123,MICHAEL T JOINER,C,REP,538.99,AL,3
H2AL03107,DOUGLAS A. BELL,C,IND,7595.58,AL,3
