year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,ALABAMA,AL,1,False,False,JERRY L CARL,REPUBLICAN,140592,168150
2022,ALABAMA,AL,1,False,False,ALEXANDER M REMREY,LIBERTARIAN,26369,168150
2022,ALABAMA,AL,2,False,False,BARRY MOORE,REPUBLICAN,137460,198961
2022,ALABAMA,AL,2,False,False,PHYLLIS HARVEY-HALL,DEMOCRAT,58014,198961
2022,ALABAMA,AL,2,False,False,JONATHAN REALZ,LIBERTARIAN,3396,198961
2022,ALABAMA,AL,3,False,False,MIKE ROGERS,REPUBLICAN,135602,190406
2022,ALABAMA,AL,3,False,False,LIN VEASEY,DEMOCRAT,47859,190406
2022,ALABAMA,AL,3,False,False,DOUGLAS A BELL,INDEPENDENT,3831,190406
2022,ALABAMA,AL,3,False,False,THOMAS SICKOFDC CASSON,LIBERTARIAN,3034,190406
2022,ALABAMA,AL,4,False,False,ROBERT B ADERHOLT,REPUBLICAN,164655,195733
2022,ALABAMA,AL,4,False,False,RICK NEIGHBORS,DEMOCRAT,26694,195733
2022,ALABAMA,AL,4,False,False,JOHNNY C COCHRAN,LIBERTARIAN,4303,195733
2022,ALABAMA,AL,5,False,False,DALE STRONG,REPUBLICAN,142435,212317
2022,ALABAMA,AL,5,False,False,KATHY WARNER-STANTON,DEMOCRAT,62740,212317
2022,ALABAMA,AL,5,False,False,P J GREER,LIBERTARIAN,6773,212317
2022,ALABAMA,AL,6,False,False,GARY J PALMER,REPUBLICAN,154233,184203
2022,ALABAMA,AL,6,False,False,ANDRIA CHIEFFO,LIBERTARIAN,27833,184203
2022,ALABAMA,AL,7,False,False,BEATRICE NICHOLS,REPUBLICAN,67416,193940
2022,ALABAMA,AL,7,False,False,TERRI A SEWELL,DEMOCRAT,123233,193940
2022,ALABAMA,AL,7,False,False,GAVIN GOODMAN,LIBERTARIAN,3212,193940
2022,ARIZONA,AZ,1,False,False,DAVID SCHWEIKERT,REPUBLICAN,182336,361477
2022,ARIZONA,AZ,1,False,False,JEVIN HODGE,DEMOCRAT,179141,361477
2022,ARIZONA,AZ,2,False,False,ELI CRANE,REPUBLICAN,174169,323396
2022,ARIZONA,AZ,2,False,False,TOM O’HALLERAN,DEMOCRAT,149151,323396
2022,ARIZONA,AZ,3,False,False,JEFF ZINK,REPUBLICAN,32475,141074
2022,ARIZONA,AZ,3,False,False,RUBEN GALLEGO,DEMOCRAT,108599,141074
2022,ARIZONA,AZ,4,False,False,KELLY COOPER,REPUBLICAN,116521,265498
2022,ARIZONA,AZ,4,False,False,GREG STANTON,DEMOCRAT,148941,265498
2022,ARIZONA,AZ,5,False,False,ANDY BIGGS,REPUBLICAN,182464,321590
2022,ARIZONA,AZ,5,False,False,JAVIER RAMOS,DEMOCRAT,120243,321590
2022,ARIZONA,AZ,5,False,False,CLINT SMITH,INDEPENDENT,18851,321590
2022,ARIZONA,AZ,6,False,False,JUAN CISCOMANI,REPUBLICAN,177201,349283
2022,ARIZONA,AZ,6,False,False,KIRSTEN ENGEL,DEMOCRAT,171969,349283
2022,ARIZONA,AZ,7,False,False,LUIS POZZOLO,REPUBLICAN,69444,195862
2022,ARIZONA,AZ,7,False,False,RAÚL M GRIJALVA,DEMOCRAT,126418,195862
2022,ARIZONA,AZ,8,False,False,DEBBIE LESKO,REPUBLICAN,197555,204713
2022,ARIZONA,AZ,9,False,False,PAUL GOSAR,REPUBLICAN,192796,197185
2022,ARKANSAS,AR,1,False,False,ERIC A “RICK” CRAWFORD,REPUBLICAN,153774,208372
2022,ARKANSAS,AR,1,False,False,MONTE HODGES,DEMOCRAT,54598,208372
2022,ARKANSAS,AR,2,False,False,J FRENCH HILL,REPUBLICAN,147975,246446
2022,ARKANSAS,AR,2,False,False,QUINTESSA HATHAWAY,DEMOCRAT,86887,246446
2022,ARKANSAS,AR,2,False,False,MICHAEL WHITE,LIBERTARIAN,11584,246446
2022,ARKANSAS,AR,3,False,False,STEVE WOMACK,REPUBLICAN,142401,223588
2022,ARKANSAS,AR,3,False,False,LAUREN MALLETT-HAYS,DEMOCRAT,73541,223588
2022,ARKANSAS,AR,3,False,False,MICHAEL J KALAGIAS,LIBERTARIAN,7646,223588
2022,ARKANSAS,AR,4,False,False,BRUCE WESTERMAN,REPUBLICAN,153850,216696
2022,ARKANSAS,AR,4,False,False,JOHN WHITE,DEMOCRAT,56745,216696
2022,ARKANSAS,AR,4,False,False,GREGORY MAXWELL,LIBERTARIAN,6101,216696
2022,CALIFORNIA,CA,1,False,False,DOUG LAMALFA,REPUBLICAN,152839,246225
2022,CALIFORNIA,CA,1,False,False,MAX STEINER,DEMOCRAT,93386,246225
2022,CALIFORNIA,CA,2,False,False,DOUGLAS BROWER,REPUBLICAN,79029,308749
2022,CALIFORNIA,CA,2,False,False,JARED HUFFMAN,DEMOCRAT,229720,308749
2022,CALIFORNIA,CA,3,False,False,KEVIN KILEY,REPUBLICAN,181438,338199
2022,CALIFORNIA,CA,3,False,False,KERMIT JONES,DEMOCRAT,156761,338199
2022,CALIFORNIA,CA,4,False,False,MATT BROCK,REPUBLICAN,84007,260907
2022,CALIFORNIA,CA,4,False,False,MIKE THOMPSON,DEMOCRAT,176900,260907
2022,CALIFORNIA,CA,5,False,False,TOM MCCLINTOCK,REPUBLICAN,173524,283030
2022,CALIFORNIA,CA,5,False,False,MICHAEL J “MIKE” BARKLEY,DEMOCRAT,109506,283030
2022,CALIFORNIA,CA,6,False,False,TAMIKA HAMILTON,REPUBLICAN,95325,216383
2022,CALIFORNIA,CA,6,False,False,AMI BERA,DEMOCRAT,121058,216383
2022,CALIFORNIA,CA,7,False,False,MAX SEMENENKO,REPUBLICAN,70033,220651
2022,CALIFORNIA,CA,7,False,False,DORIS O MATSUI,DEMOCRAT,150618,220651
2022,CALIFORNIA,CA,8,False,False,RUDY RECILE,REPUBLICAN,46634,192135
2022,CALIFORNIA,CA,8,False,False,JOHN GARAMENDI,DEMOCRAT,145501,192135
2022,CALIFORNIA,CA,9,False,False,TOM PATTI,REPUBLICAN,78802,174400
2022,CALIFORNIA,CA,9,False,False,JOSH HARDER,DEMOCRAT,95598,174400
2022,CALIFORNIA,CA,10,False,False,MARK DESAULNIER,DEMOCRAT,198415,251380
2022,CALIFORNIA,CA,10,False,False,MICHAEL ERNEST KERR,GREEN,52965,251380
2022,CALIFORNIA,CA,11,False,False,JOHN DENNIS,REPUBLICAN,42217,263065
2022,CALIFORNIA,CA,11,False,False,NANCY PELOSI,DEMOCRAT,220848,263065
2022,CALIFORNIA,CA,12,False,False,STEPHEN SLAUSON,REPUBLICAN,22859,239969
2022,CALIFORNIA,CA,12,False,False,BARBARA LEE,DEMOCRAT,217110,239969
2022,CALIFORNIA,CA,13,False,False,JOHN DUARTE,REPUBLICAN,67060,133556
2022,CALIFORNIA,CA,13,False,False,ADAM GRAY,DEMOCRAT,66496,133556
2022,CALIFORNIA,CA,14,False,False,ALISON HAYDEN,REPUBLICAN,60852,198464
2022,CALIFORNIA,CA,14,False,False,ERIC SWALWELL,DEMOCRAT,137612,198464
2022,CALIFORNIA,CA,15,False,False,KEVIN MULLIN,DEMOCRAT,108077,194874
2022,CALIFORNIA,CA,15,False,False,DAVID J CANEPA,DEMOCRAT,86797,194874
2022,CALIFORNIA,CA,16,False,False,ANNA G ESHOO,DEMOCRAT,139235,241007
2022,CALIFORNIA,CA,16,False,False,RISHI KUMAR,DEMOCRAT,101772,241007
2022,CALIFORNIA,CA,17,False,False,RITESH TANDON,REPUBLICAN,52400,180253
2022,CALIFORNIA,CA,17,False,False,RO KHANNA,DEMOCRAT,127853,180253
