id,year,state,state_po,district,runoff,special,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
AK0,2022,ALASKA,AK,0,False,False,SARAH PALIN,REPUBLICAN,67866,263610,H2AK00226,O,1924781.35
AK0,2022,ALASKA,AK,0,False,False,NICK BEGICH,REPUBLICAN,61513,263610,H2AK01083,C,1598826.28
AK0,2022,ALASKA,AK,0,False,False,MARY SATTLER PELTOLA,DEMOCRAT,128553,263610,H2AK01158,I,7060033.09
AK0,2022,ALASKA,AK,0,False,False,CHRIS BYE,LIBERTARIAN,4570,263610,H2AK01216,O,3940.25
AL1,2022,ALABAMA,AL,1,False,False,JERRY L CARL,REPUBLICAN,140592,168150,H0AL01055,I,971793.34
AL1,2022,ALABAMA,AL,1,False,False,ALEXANDER M REMREY,LIBERTARIAN,26369,168150,,,
AL2,2022,ALABAMA,AL,2,False,False,BARRY MOORE,REPUBLICAN,137460,198961,H8AL02171,I,430418.03
AL2,2022,ALABAMA,AL,2,False,False,PHYLLIS HARVEY-HALL,DEMOCRAT,58014,198961,H0AL02202,C,60219.66
AL2,2022,ALABAMA,AL,2,False,False,JONATHAN REALZ,LIBERTARIAN,3396,198961,H2AL02190,C,13281.19
AL3,2022,ALABAMA,AL,3,False,False,MIKE ROGERS,REPUBLICAN,135602,190406,H2AL03032,I,1737893.91
AL3,2022,ALABAMA,AL,3,False,False,LIN VEASEY,DEMOCRAT,47859,190406,H2AL03131,C,13237.7
AL3,2022,ALABAMA,AL,3,False,False,DOUGLAS A BELL,INDEPENDENT,3831,190406,H2AL03107,C,7595.58
AL3,2022,ALABAMA,AL,3,False,False,THOMAS SICKOFDC CASSON,LIBERTARIAN,3034,190406,,,
AL4,2022,ALABAMA,AL,4,False,False,ROBERT B ADERHOLT,REPUBLICAN,164655,195733,H6AL04098,I,1028366.36
AL4,2022,ALABAMA,AL,4,False,False,RICK NEIGHBORS,DEMOCRAT,26694,195733,H8AL04086,C,23619.51
AL4,2022,ALABAMA,AL,4,False,False,JOHNNY C COCHRAN,LIBERTARIAN,4303,195733,H2AL04105,C,6330.7
AL5,2022,ALABAMA,AL,5,False,False,DALE STRONG,REPUBLICAN,142435,212317,H2AL05102,C,1975308.27
AL5,2022,ALABAMA,AL,5,False,False,KATHY WARNER-STANTON,DEMOCRAT,62740,212317,H2AL05177,O,84706.25
AL5,2022,ALABAMA,AL,5,False,False,P J GREER,LIBERTARIAN,6773,212317,,,
AL6,2022,ALABAMA,AL,6,False,False,GARY J PALMER,REPUBLICAN,154233,184203,H4AL06098,I,1203524.76
AL6,2022,ALABAMA,AL,6,False,False,ANDRIA CHIEFFO,LIBERTARIAN,27833,184203,,,
AL7,2022,ALABAMA,AL,7,False,False,BEATRICE NICHOLS,REPUBLICAN,67416,193940,H2AL07173,C,47821.88
AL7,2022,ALABAMA,AL,7,False,False,TERRI A SEWELL,DEMOCRAT,123233,193940,H0AL07086,I,1706609.01
AL7,2022,ALABAMA,AL,7,False,False,GAVIN GOODMAN,LIBERTARIAN,3212,193940,,,
AR1,2022,ARKANSAS,AR,1,False,False,ERIC A “RICK” CRAWFORD,REPUBLICAN,153774,208372,H0AR01083,I,647616.25
AR1,2022,ARKANSAS,AR,1,False,False,MONTE HODGES,DEMOCRAT,54598,208372,H2AR01113,C,64098.32
AR2,2022,ARKANSAS,AR,2,False,False,J FRENCH HILL,REPUBLICAN,147975,246446,H4AR02141,I,2926696.72
AR2,2022,ARKANSAS,AR,2,False,False,QUINTESSA HATHAWAY,DEMOCRAT,86887,246446,H2AR02095,C,10376.75
AR2,2022,ARKANSAS,AR,2,False,False,MICHAEL WHITE,LIBERTARIAN,11584,246446,,,
AR3,2022,ARKANSAS,AR,3,False,False,STEVE WOMACK,REPUBLICAN,142401,223588,H0AR03055,I,1083110.59
AR3,2022,ARKANSAS,AR,3,False,False,LAUREN MALLETT-HAYS,DEMOCRAT,73541,223588,H2AR03283,C,65741.89
AR3,2022,ARKANSAS,AR,3,False,False,MICHAEL J KALAGIAS,LIBERTARIAN,7646,223588,,,
AR4,2022,ARKANSAS,AR,4,False,False,BRUCE WESTERMAN,REPUBLICAN,153850,216696,H4AR04048,I,1445546.44
AR4,2022,ARKANSAS,AR,4,False,False,JOHN WHITE,DEMOCRAT,56745,216696,,,
AR4,2022,ARKANSAS,AR,4,False,False,GREGORY MAXWELL,LIBERTARIAN,6101,216696,,,
AZ1,2022,ARIZONA,AZ,1,False,False,DAVID SCHWEIKERT,REPUBLICAN,182336,361477,,,
AZ1,2022,ARIZONA,AZ,1,False,False,JEVIN HODGE,DEMOCRAT,179141,361477,H2AZ06221,C,2550588.79
