candidate_id,race_id,district_id,year,state,district,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
2010_H0AK00089,AK_0_2010,AK_0,2010,ALASKA,0,HARRY T CRAWFORD JR,Democrat,77606,254335,H0AK00089,C,235571.43
2010_H6AK00045,AK_0_2010,AK_0,2010,ALASKA,0,DON YOUNG,Republican,175384,254335,H6AK00045,I,887310.33
2012_H2AK00119,AK_0_2012,AK_0,2012,ALASKA,0,SHARON M CISSNA,Democrat,82927,289804,H2AK00119,C,24388.0
2012_H6AK00045,AK_0_2012,AK_0,2012,ALASKA,0,DON YOUNG,Republican,185296,289804,H6AK00045,I,665974.39
GEN_000372,AK_0_2012,AK_0,2012,ALASKA,0,TED GIANOUTSOS,Other,5589,289804,,,
GEN_000371,AK_0_2012,AK_0,2012,ALASKA,0,JIM C MCDERMOTT,Other,15028,289804,,,
2014_H2AK00143,AK_0_2014,AK_0,2014,ALASKA,0,JIM C MCDERMOTT,Other,21290,279741,H2AK00143,C,7877.0
2014_H6AK00045,AK_0_2014,AK_0,2014,ALASKA,0,DON YOUNG,Republican,142572,279741,H6AK00045,I,809039.2
2014_H4AK00123,AK_0_2014,AK_0,2014,ALASKA,0,FORREST DUNBAR,Democrat,114602,279741,H4AK00123,C,230088.83
2016_H6AK00235,AK_0_2016,AK_0,2016,ALASKA,0,STEVE LINDBECK,Democrat,111019,308198,H6AK00235,,1098098.09
GEN_001019,AK_0_2016,AK_0,2016,ALASKA,0,JIM C MCDERMOTT,Other,31770,308198,,,
GEN_001018,AK_0_2016,AK_0,2016,ALASKA,0,BERNIE SOUPHANAVONG,Other,9093,308198,,,
2016_H6AK00045,AK_0_2016,AK_0,2016,ALASKA,0,DON YOUNG,Republican,155088,308198,H6AK00045,I,1322055.12
2018_H8AK00140,AK_0_2018,AK_0,2018,ALASKA,0,ALYSE S GALVIN,Democrat,131199,282166,H8AK00140,C,1943398.59
2018_H6AK00045,AK_0_2018,AK_0,2018,ALASKA,0,DON YOUNG,Republican,149779,282166,H6AK00045,I,1387687.05
2020_H6AK00045,AK_0_2020,AK_0,2020,ALASKA,0,DON YOUNG,Republican,192126,353165,H6AK00045,I,1817836.79
2020_H8AK00140,AK_0_2020,AK_0,2020,ALASKA,0,ALYSE S GALVIN,Democrat,159856,353165,H8AK00140,C,5162902.93
2010_H0AL01048,AL_1_2010,AL_1,2010,ALABAMA,1,DAVID WALTER,Other,26357,156281,H0AL01048,C,20045.0
2010_H2AL01077,AL_1_2010,AL_1,2010,ALABAMA,1,JO BONNER,Republican,129063,156281,H2AL01077,I,1101701.0
2012_H2AL01077,AL_1_2012,AL_1,2012,ALABAMA,1,JO BONNER,Republican,196374,200676,H2AL01077,I,1263168.28
2014_H4AL01123,AL_1_2014,AL_1,2014,ALABAMA,1,BRADLEY BYRNE,Republican,103758,152234,H4AL01123,I,1655998.6
2014_H4AL01156,AL_1_2014,AL_1,2014,ALABAMA,1,BURTON R LEFLORE,Democrat,48278,152234,H4AL01156,C,35603.0
2016_H4AL01123,AL_1_2016,AL_1,2016,ALABAMA,1,BRADLEY BYRNE,Republican,208083,215893,H4AL01123,I,1172750.28
2018_H8AL01066,AL_1_2018,AL_1,2018,ALABAMA,1,ROBERT KENNEDY JR,Democrat,89226,242617,H8AL01066,C,166845.21
2018_H4AL01123,AL_1_2018,AL_1,2018,ALABAMA,1,BRADLEY BYRNE,Republican,153228,242617,H4AL01123,I,834780.43
