race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
AK_0_2014,AK_0,2014,279741,DON YOUNG,Republican,I,FORREST DUNBAR,Democrat,C,10.0,809039.2,230088.83,12.0,5.7,3.516203720102362,-7.7
AK_0_2018,AK_0,2018,282166,DON YOUNG,Republican,I,ALYSE S GALVIN,Democrat,C,6.58,1387687.05,1943398.59,9.0,-8.6,0.7140516912693654,6.18
AK_0_2020,AK_0,2020,353165,DON YOUNG,Republican,I,ALYSE S GALVIN,Democrat,C,9.14,1817836.79,5162902.93,9.0,-3.1,0.352095868283156,3.24
AR_2_2014,AR_2,2014,237330,FRENCH HILL,Republican,O,PATRICK HENRY HAYS,Democrat,O,8.26,2149743.85,1563841.26,8.0,5.7,1.3746560504484964,-5.44
AR_2_2018,AR_2,2018,253453,FRENCH HILL,Republican,I,CLARKE TUCKER,Democrat,C,6.31,3536453.22,2359234.62,7.0,-8.6,1.4989832677175616,7.91
AR_2_2020,AR_2,2020,332503,J FRENCH HILL,Republican,I,JOYCE ELLIOTT,Democrat,C,10.73,3059235.64,3540156.67,7.0,-3.1,0.8641526139011244,6.83
AZ_1_2012,AZ_1,2012,251595,ANN KIRKPATRICK,Democrat,I,JONATHAN PATON,Republican,C,3.65,2369726.45,1489294.36,3.0,-1.1,1.5911739906139173,5.55
AZ_1_2018,AZ_1,2018,266089,TOM O'HALLERAN,Democrat,I,WENDY ROGERS,Republican,C,7.69,2760247.97,1427124.4,2.0,-8.6,1.9341327006951885,1.09
AZ_1_2020,AZ_1,2020,365178,TOM O'HALLERAN,Democrat,I,TIFFANY SHEDD,Republican,C,3.22,3359686.85,1655234.73,2.0,-3.1,2.0297343869772475,2.12
AZ_2_2012,AZ_2,2012,292279,RON BARBER,Democrat,I,MARTHA MCSALLY,Republican,C,0.84,2690570.19,1442044.71,2.0,-1.1,1.8658021983243502,1.74
AZ_2_2014,AZ_2,2014,219351,MARTHA MCSALLY,Republican,C,RON BARBER,Democrat,I,0.07,4503580.94,3610617.45,3.0,5.7,1.2473160068508504,-8.63
AZ_2_2016,AZ_2,2016,315679,MARTHA MCSALLY,Republican,I,MATT HEINZ,Democrat,C,13.92,8004418.35,1585089.25,3.0,1.1,5.049821863343026,9.82
AZ_2_2018,AZ_2,2018,294152,ANN KIRKPATRICK,Democrat,O,LEA MARQUEZ PETERSON,Republican,O,9.49,4519793.32,1457230.95,1.0,-8.6,3.1016314332330097,1.89
AZ_2_2020,AZ_2,2020,381054,ANN KIRKPATRICK,Democrat,I,BRANDON MARTIN,Republican,C,10.23,1433662.33,387527.04,1.0,-3.1,3.6995156002533403,8.13
AZ_6_2018,AZ_6,2018,313699,DAVID SCHWEIKERT,Republican,I,ANITA MALIK,Democrat,C,10.39,1773912.37,391755.8,9.0,-8.6,4.528107484305274,9.99
AZ_6_2020,AZ_6,2020,417427,DAVID SCHWEIKERT,Republican,I,HIRAL TIPIRNENI,Democrat,C,4.35,2283320.82,6413897.02,9.0,-3.1,0.35599586536548417,-1.55
AZ_8_2018,AZ_8,2018,304417,DEBBIE LESKO,Republican,I,HIRAL TIPIRNENI,Democrat,C,10.93,2032633.16,4479343.36,13.0,-8.6,0.453779270004432,6.53
AZ_8_2020,AZ_8,2020,422467,DEBBIE LESKO,Republican,I,MICHAEL MUSCATO,Democrat,C,19.13,996781.94,399329.13,13.0,-3.1,2.4961413158113457,9.23
AZ_9_2012,AZ_9,2012,250131,KYRSTEN SINEMA,Democrat,I,VERNON B PARKER,Republican,C,4.1,2118460.84,1170856.83,1.0,-1.1,1.8093252613985262,4.0
AZ_9_2018,AZ_9,2018,261245,GREG STANTON,Democrat,O,STEPHEN L FERRARA,Republican,O,22.17,2465870.87,1565927.76,-4.0,-8.6,1.5747028266489127,9.57
