race_id,district_id,year,total_votes,winner_name,winner_party,runner_up_name,runner_up_party,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE
AK_0_2010,AK_0,2010,254335,DON YOUNG,Republican,HARRY T CRAWFORD JR,Democrat,38.44,887310.33,235571.43,13.0,6.8
AK_0_2012,AK_0,2012,289804,DON YOUNG,Republican,SHARON M CISSNA,Democrat,35.32,665974.39,24388.0,13.0,-1.1
AK_0_2014,AK_0,2014,279741,DON YOUNG,Republican,FORREST DUNBAR,Democrat,10.0,809039.2,230088.83,12.0,5.7
AK_0_2016,AK_0,2016,308198,DON YOUNG,Republican,STEVE LINDBECK,Democrat,14.3,1322055.12,1098098.09,12.0,1.1
AK_0_2018,AK_0,2018,282166,DON YOUNG,Republican,ALYSE S GALVIN,Democrat,6.58,1387687.05,1943398.59,9.0,-8.6
AK_0_2020,AK_0,2020,353165,DON YOUNG,Republican,ALYSE S GALVIN,Democrat,9.14,1817836.79,5162902.93,9.0,-3.1
AL_1_2010,AL_1,2010,156281,JO BONNER,Republican,DAVID WALTER,Other,65.72,1101701.0,20045.0,14.0,6.8
AL_1_2014,AL_1,2014,152234,BRADLEY BYRNE,Republican,BURTON R LEFLORE,Democrat,36.44,1655998.6,35603.0,15.0,5.7
AL_1_2018,AL_1,2018,242617,BRADLEY BYRNE,Republican,ROBERT KENNEDY JR,Democrat,26.38,834780.43,166845.21,15.0,-8.6
AL_1_2020,AL_1,2020,329075,JERRY CARL,Republican,JAMES AVERHART,Democrat,28.83,2232543.94,78973.24,15.0,-3.1
AL_2_2010,AL_2,2010,219028,MARTHA ROBY,Republican,BOBBY BRIGHT,Democrat,2.18,1240275.64,1435626.44,16.0,6.8
AL_2_2012,AL_2,2012,283953,MARTHA ROBY,Republican,THERESE FORD,Democrat,27.29,862502.48,0.0,18.0,-1.1
AL_2_2014,AL_2,2014,167952,MARTHA ROBY,Republican,ERICK WRIGHT,Democrat,34.78,793565.21,10473.0,17.0,5.7
AL_2_2016,AL_2,2016,276584,MARTHA ROBY,Republican,NATHAN MATHIS,Democrat,8.24,1850535.64,36844.0,17.0,1.1
AL_2_2018,AL_2,2018,226230,MARTHA ROBY,Republican,TABITHA ISNER,Democrat,22.96,2277448.83,524941.35,16.0,-8.6
AL_2_2020,AL_2,2020,303569,BARRY MOORE,Republican,PHYLLIS HARVEY-HALL,Democrat,30.54,836276.8,57661.16,16.0,-3.1
AL_3_2010,AL_3,2010,198139,MIKE ROGERS,Republican,STEVE SEGREST,Democrat,18.94,979490.74,8750.0,9.0,6.8
AL_3_2012,AL_3,2012,273930,MIKE ROGERS,Republican,JOHN ANDREW HARRIS,Democrat,28.17,982102.34,4847.71,15.0,-1.1
AL_3_2014,AL_3,2014,156620,MIKE ROGERS,Republican,JESSE T SMITH,Democrat,32.4,941431.5,9000.0,16.0,5.7
AL_3_2016,AL_3,2016,287104,MIKE ROGERS,Republican,JESSE SMITH,Democrat,34.0,1071289.42,7348.0,16.0,1.1
AL_3_2018,AL_3,2018,231915,MIKE ROGERS,Republican,MALLORY HAGAN,Democrat,27.5,1348278.3,464472.2,16.0,-8.6
AL_3_2020,AL_3,2020,322234,MIKE ROGERS,Republican,ADIA WINFREY,Democrat,35.0,1228340.4,41221.09,16.0,-3.1
AL_4_2012,AL_4,2012,269118,ROBERT B ADERHOLT,Republican,DANIEL H BOMAN,Democrat,48.07,1140896.88,5575.0,23.0,-1.1
AL_4_2018,AL_4,2018,230969,ROBERT ADERHOLT,Republican,LEE AUMAN,Democrat,59.65,1300365.01,77551.69,30.0,-8.6
AL_4_2020,AL_4,2020,318029,ROBERT B ADERHOLT,Republican,RICK NEIGHBORS,Democrat,64.56,1352138.08,47908.58,30.0,-3.1
AL_5_2010,AL_5,2010,226490,MO BROOKS,Republican,STEVE RABY,Democrat,15.86,910790.4,777837.46,12.0,6.8
AL_5_2012,AL_5,2012,291293,MO BROOKS,Republican,CHARLIE L HOLLEY,Democrat,30.01,455514.82,56123.8,14.0,-1.1
AL_5_2014,AL_5,2014,154974,MO BROOKS,Republican,MARK BRAY,Other,49.26,299837.5,26437.62,17.0,5.7
AL_5_2016,AL_5,2016,308326,MO BROOKS,Republican,WILL BOYD JR,Democrat,33.54,119723.76,61251.11,17.0,1.1
AL_5_2018,AL_5,2018,260673,MO BROOKS,Republican,PETER JOFFRION,Democrat,22.13,2006001.97,587237.93,18.0,-8.6
AL_6_2012,AL_6,2012,308102,SPENCER BACHUS,Republican,PENNY H BAILEY,Democrat,42.52,2904500.84,50433.0,28.0,-1.1
AL_6_2014,AL_6,2014,178449,GARY PALMER,Republican,MARK LESTER,Democrat,52.48,1690309.21,165464.66,28.0,5.7
AL_6_2016,AL_6,2016,329306,GARY J PALMER,Republican,DAVID J PUTNAM,Democrat,49.07,769978.37,197378.52,28.0,1.1
AL_6_2018,AL_6,2018,278328,GARY PALMER,Republican,DANNER KLINE,Democrat,38.41,1496359.76,287432.23,26.0,-8.6
AL_7_2010,AL_7,2010,188724,TERRI A SEWELL,Democrat,DON CHAMBERLAIN,Republican,44.94,1766658.3,42691.0,-18.0,6.8
AL_7_2012,AL_7,2012,306558,TERRI A SEWELL,Democrat,DON CHAMBERLAIN,Republican,51.76,863803.98,22263.32,-17.0,-1.1
AR_1_2010,AR_1,2010,180016,RICK CRAWFORD,Republican,CHAD CAUSEY,Democrat,8.31,1249966.21,1613863.42,8.0,6.8
AR_1_2012,AR_1,2012,246843,"ERIC A ""RICK"" CRAWFORD",Republican,SCOTT ELLINGTON,Democrat,17.1,1274636.11,370676.52,7.0,-1.1
AR_1_2014,AR_1,2014,196256,"ERIC A ""RICK"" CRAWFORD",Republican,JACKIE MCPHERSON,Democrat,30.87,665075.08,279780.51,14.0,5.7
AR_1_2016,AR_1,2016,241047,"ERIC A ""RICK"" CRAWFORD",Republican,MARK WEST,Other,52.56,808955.49,0.0,14.0,1.1
AR_1_2018,AR_1,2018,201245,RICK CRAWFORD,Republican,CHINTAN DESAI,Democrat,40.17,966616.64,137153.22,17.0,-8.6
