candidate
JERRY L CARL
ALEXANDER M REMREY
BARRY MOORE
PHYLLIS HARVEY-HALL
JONATHAN REALZ
MIKE ROGERS
LIN VEASEY
DOUGLAS A BELL
THOMAS SICKOFDC CASSON
ROBERT B ADERHOLT
RICK NEIGHBORS
JOHNNY C COCHRAN
DALE STRONG
KATHY WARNER-STANTON
P J GREER
GARY J PALMER
ANDRIA CHIEFFO
BEATRICE NICHOLS
TERRI A SEWELL
GAVIN GOODMAN
DAVID SCHWEIKERT
JEVIN HODGE
ELI CRANE
TOM O’HALLERAN
JEFF ZINK
RUBEN GALLEGO
KELLY COOPER
GREG STANTON
ANDY BIGGS
JAVIER RAMOS
CLINT SMITH
JUAN CISCOMANI
KIRSTEN ENGEL
LUIS POZZOLO
RAÚL M GRIJALVA
DEBBIE LESKO
PAUL GOSAR
ERIC A “RICK” CRAWFORD
MONTE HODGES
J FRENCH HILL
QUINTESSA HATHAWAY
MICHAEL WHITE
STEVE WOMACK
LAUREN MALLETT-HAYS
MICHAEL J KALAGIAS
BRUCE WESTERMAN
JOHN WHITE
GREGORY MAXWELL
DOUG LAMALFA
MAX STEINER
DOUGLAS BROWER
JARED HUFFMAN
KEVIN KILEY
KERMIT JONES
MATT BROCK
MIKE THOMPSON
TOM MCCLINTOCK
MICHAEL J “MIKE” BARKLEY
TAMIKA HAMILTON
AMI BERA
MAX SEMENENKO
DORIS O MATSUI
RUDY RECILE
JOHN GARAMENDI
TOM PATTI
JOSH HARDER
MARK DESAULNIER
MICHAEL ERNEST KERR
JOHN DENNIS
NANCY PELOSI
STEPHEN SLAUSON
BARBARA LEE
JOHN DUARTE
ADAM GRAY
ALISON HAYDEN
ERIC SWALWELL
KEVIN MULLIN
DAVID J CANEPA
ANNA G ESHOO
RISHI KUMAR
RITESH TANDON
RO KHANNA
PETER HERNANDEZ
ZOE LOFGREN
JEFF GORMAN
JIMMY PANETTA
KEVIN MCCARTHY
MARISA WOOD
MICHAEL MAHER
JIM COSTA
DAVID G VALADAO
RUDY SALAS
JAY OBERNOLTE
DEREK MARSHALL
BRAD ALLEN
SALUD O CARBAJAL
BRIAN E HAWKINS
RAUL RUIZ
MATT JACOBS
JULIA BROWNLEY
MIKE GARCIA
CHRISTY SMITH
WES HALLMAN
JUDY CHU
TONY CÁRDENAS
ANGÉLICA MARIA DUEÑAS
ADAM B SCHIFF
G “MAEBE A GIRL” PUDLO
DANIEL BOCIC MARTINEZ
GRACE F NAPOLITANO
LUCIE LAPOINTE VOLOTZKY
BRAD SHERMAN
JOHN MARK PORTER
PETE AGUILAR
JIMMY GOMEZ
DAVID KIM
MIKE CARGILE
NORMA J TORRES
JOE E COLLINS III
TED LIEU
SYDNEY KAMLAGER
JAN C PERRY
ERIC J CHING
LINDA T SÁNCHEZ
AJA SMITH
MARK TAKANO
YOUNG KIM
ASIF MAHMOOD
KEN CALVERT
WILL ROLLINS
JOHN BRISCOE
ROBERT GARCIA
OMAR NAVARRO
MAXINE WATERS
PAUL JONES
NANETTE DIAZ BARRAGÁN
MICHELLE STEEL
JAY F CHEN
CHRISTOPHER J GONZALES
J LUIS CORREA
SCOTT BAUGH
KATIE PORTER
DARRELL ISSA
STEPHEN HOULAHAN
BRIAN MARYOTT
MIKE LEVIN
COREY GUSTAFSON
SCOTT H PETERS
STAN CAPLAN
SARA JACOBS
TYLER GEFFENEY
JUAN VARGAS
JENNIFER QUALTERI
DIANA DEGETTE
JOHN C KITTLESON
MARSHALL DAWSON
JOE NEGUSE
STEVE YURASH
GARY L NATION
TIM WOLF
LAUREN BOEBERT
ADAM FRISCH
MARINA ZIMMERMAN
KRISTIN SKOWRONSKI
RICHARD “TURTLE” TETU
KEN BUCK
IKE MCCORKLE
RYAN MCGONIGAL
DOUG LAMBORN
DAVID TORRES
BRIAN FLANAGAN
CHRISTOPHER MITCHELL
STEVEN MONAHAN
JASON CROW
ERIC C MULDER
ERIK AADLAND
BRITTANY PETTERSEN
ROSS KLOPF
CRITTER MILTON
BARBARA KIRKMEYER
YADIRA CARAVEO
RICHARD WARD
MATT GAETZ
REBEKAH JONES
NEAL P DUNN
"AL LAWSON, JR"
KAT CAMMACK
DANIELLE HAWK
LINDA S BROOKS
AARON BEAN
LASHONDA “LJ” HOLLOWAY
JOHN H RUTHERFORD
MICHAEL WALTZ
JOSEPH “JOE” HANNOUSH
CORY MILLS
KAREN GREEN
BILL POSEY
JOANNE TERRY
SCOTTY MOORE
DARREN SOTO
CALVIN B WIMBISH
MAXWELL ALEJANDRO FROST
JASON HOLIC
USHA JAIN
DANIEL WEBSTER
SHANTE MUNNS
KEVIN PORTER
GUS M BILIRAKIS
KIMBERLY WALKER
ANNA PAULINA LUNA
ERIC LYNN
FRANK CRAFT
JAMES JUDGE
KATHY CASTOR
LAUREL LEE
ALAN M COHN
VERN BUCHANAN
JAN SCHNEIDER
W GREGORY STEUBE
ANDREA DORIA KALE
THEODORE “PINK TIE” MURRAY
C SCOTT FRANKLIN
"KEITH R HAYDEN, JR"
BYRON DONALDS
CINDY BANYAI
DREW MONTEZ CLARK
SHEILA CHERFILUS-MCCORMICK
BRIAN J MAST
CORINNA BALDERRAMOS ROBINSON
DAN FRANZESE
LOIS FRANKEL
JOE BUDD
JARED MOSKOWITZ
CHRISTINE SCOTT
MARK NAPIER
JESUS G NAVARRO
FREDERICA S WILSON
CARLA SPALDING
DEBBIE WASSERMAN SCHULTZ
MARIO DIAZ-BALART
CHRISTINE ALEXANDRIA OLIVO
MARIA ELVIRA SALAZAR
ANNETTE TADDEO
CARLOS A GIMENEZ
ROBERT ASENCIO
EARL L “BUDDY” CARTER
WADE HERRING
CHRIS WEST
"SANFORD D BISHOP, JR"
A DREW FERGUSON IV
VAL ALMONORD
JONATHAN CHAVEZ
"HENRY C “HANK” JOHNSON, JR"
CHRISTIAN ZIMM
NIKEMA WILLIAMS
RICH MCCORMICK
BOB CHRISTIAN
MARK GONSALVES
LUCY MCBATH
AUSTIN SCOTT
DARRIUS BUTLER
ANDREW S CLYDE
MICHAEL “MIKE” FORD
MIKE COLLINS
TABITHA JOHNSON-GREEN
BARRY LOUDERMILK
ANTONIO DAZA
RICK W ALLEN
ELIZABETH “LIZ” JOHNSON
CAESAR GONZALES
DAVID SCOTT
MARJORIE TAYLOR GREENE
MARCUS FLOWERS
ERIC CARLSON
JONATHAN L JACKSON
THOMAS LYNCH
ROBIN L KELLY
JUSTIN BURAU
DELIA RAMIREZ
JAMES FALAKOS
JESÚS G “CHUY” GARCÍA
EDWARD HERSHEY
TOMMY HANSON
MIKE QUIGLEY
JERICO MATIAS CRUZ
KEITH PEKAU
SEAN CASTEN
DANNY K DAVIS
CHRIS DARGIS
RAJA KRISHNAMOORTHI
MAXWELL “MAX” RICE
JANICE D SCHAKOWSKY
JOSEPH SEVERINO
BRADLEY SCOTT SCHNEIDER
CATALINA LAUF
BILL FOSTER
MIKE BOST
HOMER “CHIP” MARKEL
REGAN DEERING
NIKKI BUDZINSKI
SCOTT R GRYDER
LAUREN UNDERWOOD
MARY E MILLER
PAUL J LANGE
DARIN LAHOOD
ELIZABETH “LISA” HADERLEIN
