year,state,state_po,office,district,runoff,special,candidate,party,candidatevotes,totalvotes,CAND_ID,CAND_NAME,CAND_ICI,CAND_PTY_AFFILIATION,TTL_DISB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT
2022,ALASKA,AK,US HOUSE,0,False,False,SARAH PALIN,REPUBLICAN,67866,263610,H2AK00226,SARAH PALIN,O,REP,1924781.35,AK,0
2022,ALASKA,AK,US HOUSE,0,False,False,NICK BEGICH,REPUBLICAN,61513,263610,,,,,,,
2022,ALASKA,AK,US HOUSE,0,False,False,MARY SATTLER PELTOLA,DEMOCRAT,128553,263610,H2AK01158,MARY PELTOLA,I,DEM,7060033.09,AK,0
2022,ALASKA,AK,US HOUSE,0,False,False,CHRIS BYE,LIBERTARIAN,4570,263610,H2AK01216,CHRIS BYE,O,LIB,3940.25,AK,0
2022,ALABAMA,AL,US HOUSE,1,False,False,JERRY L CARL,REPUBLICAN,140592,168150,H0AL01055,"CARL, JERRY LEE, JR",I,REP,971793.34,AL,1
2022,ALABAMA,AL,US HOUSE,1,False,False,ALEXANDER M REMREY,LIBERTARIAN,26369,168150,,,,,,,
2022,ALABAMA,AL,US HOUSE,2,False,False,BARRY MOORE,REPUBLICAN,137460,198961,H8AL02171,FELIX BARRY MOORE,I,REP,430418.03,AL,2
2022,ALABAMA,AL,US HOUSE,2,False,False,PHYLLIS HARVEY-HALL,DEMOCRAT,58014,198961,H0AL02202,PHYLLIS HARVEY-HALL,C,DEM,60219.66,AL,2
2022,ALABAMA,AL,US HOUSE,2,False,False,JONATHAN REALZ,LIBERTARIAN,3396,198961,,,,,,,
2022,ALABAMA,AL,US HOUSE,3,False,False,MIKE ROGERS,REPUBLICAN,135602,190406,H2AL03032,MICHAEL ROGERS,I,REP,1737893.91,AL,3
2022,ALABAMA,AL,US HOUSE,3,False,False,LIN VEASEY,DEMOCRAT,47859,190406,,,,,,,
2022,ALABAMA,AL,US HOUSE,3,False,False,DOUGLAS A BELL,INDEPENDENT,3831,190406,H2AL03107,DOUGLAS A. BELL,C,IND,7595.58,AL,3
2022,ALABAMA,AL,US HOUSE,3,False,False,THOMAS SICKOFDC CASSON,LIBERTARIAN,3034,190406,,,,,,,
2022,ALABAMA,AL,US HOUSE,4,False,False,ROBERT B ADERHOLT,REPUBLICAN,164655,195733,H6AL04098,ROBERT B. REP. ADERHOLT,I,REP,1028366.36,AL,4
